No.;Time;Comment;Scramble;Date;P.1
240;5.60;;B' U R L' B' U R' U' b u';2023-07-27 19:50:18;5.60
241;7.02;;B R' L' U' B U L' B' l' r' u';2023-07-27 22:57:02;7.02
242;5.34;;B L' U' B L' B' L' U' r' b;2023-07-27 22:57:36;5.34
243;8.09;;R U' L R U R B U' l r' b' u;2023-07-27 22:57:57;8.09
244;9.33;;B' L' R L' B' U R B l' r';2023-07-27 22:58:18;9.33
245;6.76;;U' L' B U R' L R' L' l b u;2023-07-27 22:58:39;6.76
246;7.69;;L' U' L R' B L U' R' r' b u;2023-07-27 22:59:00;7.69
247;8.27;;U' R' B R U' B R' L' l' b;2023-07-27 22:59:30;8.27
248;7.70;;R' L B' U L' B L' B L r b u';2023-07-27 22:59:52;7.70
249;5.29;;U L B R' L' U' R' U r' b u';2023-07-27 23:00:12;5.29
250;6.75;;R' L U R' B U' R' L r' b';2023-07-27 23:00:27;6.75
251;8.36;;B L B' L' U L' R' L' r b u;2023-07-27 23:00:44;8.36
252;4.91;;L R' L R' B' U B' R' l' b';2023-07-27 23:01:07;4.91
253;4.23;;U' L U' R B R' L U' l b' u';2023-07-28 18:09:05;4.23
254;6.22;;U L' U' R' B' R L' R' l' r' b u';2023-07-28 18:23:16;6.22
255;7.73;;R' B' U' R' B U' B' R r;2023-07-28 19:37:52;7.73
256;4.84;;U B' R L' R' B' R' L' l' r' b;2023-07-28 19:38:34;4.84
257;4.91;;B U L R' B L' R U' r b' u;2023-07-28 19:38:59;4.91
258;10.16;;B U B' R L B' R L l' r' b' u';2023-07-28 19:39:25;10.16
259;10.13;;R B L' U L' B' U R' L' l' r u;2023-07-28 19:39:55;10.13
260;5.18;;L' B' U L U' R U B b' u;2023-07-28 19:40:29;5.18
261;5.96;;L' B' U' L R' U' R' B r b u';2023-07-28 19:40:59;5.96
262;5.15;;U' L B U L' U B U' L' l r';2023-07-28 19:41:26;5.15
263;4.83;;L R B' U L U' B' R' b' u;2023-07-28 19:41:48;4.83
264;5.78;;U L R U B R' U R' r u';2023-07-28 19:42:11;5.78
265;4.53;;R L' R' L U' B R' B' l b;2023-07-28 19:42:35;4.53
266;6.99;;R' B' L R U' L' U' R r b';2023-07-28 19:42:52;6.99
267;5.07;;U B' L' U L R' L U' r' b u;2023-07-28 19:43:13;5.07
268;5.03;;L R' B' L R' B U B' l r' b' u';2023-07-28 19:43:34;5.03
269;4.96;;U B L B U L U B l' b;2023-07-28 19:44:21;4.96
270;3.96;;L' U' B' R' L' R L' U L l' r b';2023-07-28 19:44:49;3.96
271;7.64;;B L R L U B' R B' l' r' u;2023-07-28 19:45:12;7.64
272;5.75;;B U' L' U' R B L' B' r b;2023-07-28 19:45:36;5.75
273;7.26;;U R' U R' U' B L R r' b' u';2023-07-28 19:46:00;7.26
274;4.70;;R' B L R' L' U R' L' b' u';2023-07-28 19:46:21;4.70
275;6.42;;U' R' B' L R L B' R' l r' u;2023-07-29 12:04:51;6.42
276;8.64;;R B R B L U' L R' B' L' l' r b' u';2023-07-29 12:05:20;8.64
277;5.47;;U B' L R' U B U R' l' r' u';2023-07-29 12:06:07;5.47
278;5.35;;B' R U R B' U' R U' l' r b;2023-07-29 12:06:30;5.35
279;6.09;;U R L' R' U L' U' B' r' u;2023-07-29 12:06:50;6.09
280;9.39;;U' R U' L' R B L' R' r' b' u;2023-07-29 12:07:16;9.39
281;5.93;;U' B R U R' U L R' l b;2023-07-29 12:07:41;5.93
282;4.84;;R' L R' B' R' U' L B l' b' u;2023-07-29 12:08:15;4.84
283;4.37;;B' R' B R U R B R' l r' b u;2023-07-29 12:08:42;4.37
284;4.02;;L B L R U' B' L R' u';2023-07-29 12:09:28;4.02
285;6.15;;U L U' L' B' L U' L' l r' b u';2023-07-29 12:09:51;6.15
286;7.78;;U' B L R' B U L' B' L' l b;2023-07-29 12:10:13;7.78
287;5.97;;U' B R L' U L' B' R' r b u;2023-07-29 12:10:49;5.97
288;4.20;;U L' U' R' B' R U L l' r b' u';2023-07-29 12:11:12;4.20
289;5.25;;L B' U R' L R' U' R' l r b u';2023-07-29 12:11:31;5.25
290;8.40;;R U L' U L R' L R' l' b u;2023-07-29 12:11:54;8.40
291;5.00;;L R' B L U' L U L' l' r b';2023-07-29 12:12:17;5.00
292;7.70;;L' U L' B U R' L B l r' u';2023-07-29 17:27:55;7.70
293;5.91;;B L' B' L' U' R B' U' l' r b;2023-07-29 17:28:19;5.91
